"reviews_per_month";"name";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"calculated_host_listings_count";"availability_365"
0.21;"Clean & quiet apt home by the park";"John";"Brooklyn";"Kensington";40.64749;-73.97237;"Private room";149;1;9;6;365
0.38;"Skylit Midtown Castle";"Jennifer";"Manhattan";"Midtown";40.75362;-73.98377;"Entire home/apt";225;1;45;2;355
0.0;"THE VILLAGE OF HARLEM....NEW YORK !";"Elisabeth";"Manhattan";"Harlem";40.80902;-73.9419;"Private room";150;3;0;1;365
4.64;"Cozy Entire Floor of Brownstone";"LisaRoxanne";"Brooklyn";"Clinton Hill";40.68514;-73.95976;"Entire home/apt";89;1;270;1;194
0.59;"Large Cozy 1 BR Apartment In Midtown East";"Chris";"Manhattan";"Murray Hill";40.74767;-73.975;"Entire home/apt";200;3;74;1;129
3.47;"Large Furnished Room Near B'way ";"Shunichi";"Manhattan";"Hell's Kitchen";40.76489;-73.98493;"Private room";79;2;430;1;220
1.33;"Cute & Cozy Lower East Side 1 bdrm";"Ben";"Manhattan";"Chinatown";40.71344;-73.99037;"Entire home/apt";150;1;160;4;188
0.43;"Beautiful 1br on Upper West Side";"Lena";"Manhattan";"Upper West Side";40.80316;-73.96545;"Entire home/apt";135;5;53;1;6
1.5;"Central Manhattan/near Broadway";"Kate";"Manhattan";"Hell's Kitchen";40.76076;-73.98867;"Private room";85;2;188;1;39
1.34;"Lovely Room 1, Garden, Best Area, Legal rental";"Laurie";"Brooklyn";"South Slope";40.66829;-73.98779;"Private room";89;4;167;3;314
0.91;"Wonderful Guest Bedroom in Manhattan for SINGLES";"Claudio";"Manhattan";"Upper West Side";40.79826;-73.96113;"Private room";85;2;113;1;333
1.2;"Only 2 stops to Manhattan studio";"Allen & Irina";"Brooklyn";"Williamsburg";40.70837;-73.95352;"Entire home/apt";140;2;148;1;46
1.72;"Perfect for Your Parents + Garden";"Jane";"Brooklyn";"Fort Greene";40.69169;-73.97185;"Entire home/apt";215;2;198;1;321
2.12;"Chelsea Perfect";"Doti";"Manhattan";"Chelsea";40.74192;-73.99501;"Private room";140;1;260;1;12
4.44;"Hip Historic Brownstone Apartment with Backyard";"Adam And Charity";"Brooklyn";"Crown Heights";40.67592;-73.94694;"Entire home/apt";99;3;53;1;21
0.0;"Huge 2 BR Upper East  Cental Park";"Sing";"Manhattan";"East Harlem";40.79685;-73.94872;"Entire home/apt";190;7;0;2;249
0.73;"MAISON DES SIRENES1,bohemian apartment";"Nathalie";"Brooklyn";"Bedford-Stuyvesant";40.68371;-73.94028;"Entire home/apt";120;2;88;2;233
1.37;"Sunny Bedroom Across Prospect Park";"Gregory";"Brooklyn";"Windsor Terrace";40.65599;-73.97519;"Private room";60;1;19;2;85
0.49;"Midtown Pied-a-terre";"Tommi";"Manhattan";"Hell's Kitchen";40.76715;-73.98533;"Entire home/apt";150;10;58;1;75
1.11;"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM";"Shon";"Manhattan";"Inwood";40.86482;-73.92106;"Private room";44;3;108;3;311
0.24;"Modern 1 BR / NYC / EAST VILLAGE";"Dana";"Manhattan";"East Village";40.7292;-73.98542;"Entire home/apt";180;14;29;1;67
2.04;"front room/double bed";"Ssameer Or Trip";"Manhattan";"Harlem";40.82245;-73.95104;"Private room";50;3;242;3;355
1.42;"Spacious 1 bedroom in luxe building";"Teri";"Manhattan";"Harlem";40.81305;-73.95466;"Private room";52;2;88;1;255
1.65;"Loft in Williamsburg Area w/ Roof";"Andrea";"Brooklyn";"Greenpoint";40.72219;-73.93762;"Private room";55;4;197;3;284
2.37;"back room/bunk beds";"Ssameer Or Trip";"Manhattan";"Harlem";40.8213;-73.95318;"Private room";50;3;273;3;359
0.66;"Large B&B Style rooms";"Angela";"Brooklyn";"Bedford-Stuyvesant";40.6831;-73.95473;"Private room";70;1;74;2;269
1.41;"Lovely room 2 & garden; Best area, Legal rental";"Laurie";"Brooklyn";"South Slope";40.66869;-73.9878;"Private room";89;4;168;3;340
0.0;"Clean and Quiet in Brooklyn";"Vt";"Brooklyn";"Bedford-Stuyvesant";40.68876;-73.94312;"Private room";35;60;0;1;365
1.96;"Cute apt in artist's home";"Tyrome";"Brooklyn";"Bushwick";40.70186;-73.92745;"Entire home/apt";85;2;231;2;22
